model,best_params,accuracy,precision,recall,f1,roc_auc,cv_roc_auc_mean
logistic_regression,"{'classifier__C': 1, 'classifier__solver': 'lbfgs'}",0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703,0.9953143278274297
svm,"{'classifier__C': 1, 'classifier__kernel': 'rbf'}",0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9950396825396826,0.9945250963143201
random_forest,"{'classifier__max_depth': 6, 'classifier__n_estimators': 200}",0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9940476190476191,0.9904672219362688
